round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,skipped_steps,samples_per_sec,peak_gb
26,0.8477898158250322,0.8436496994009777,0.8477898158250322,0.8469996707729565,0.8361992269863274,0.8477898158250322,0.8477898158250322,0.8356003658930575,0.8477898158250322,0.842561585547988,0.05693087354302406,0.0004519884870461591,330.5,4,130223,5.6
27,0.84495373858077,0.8411321044238123,0.84495373858077,0.8469358629162533,0.8405543053103222,0.84495373858077,0.84495373858077,0.8377395588566369,0.84495373858077,0.8425614296985192,0.05633988231420517,0.0004202000524833105,330.4,4,130276,5.6
28,0.8517422035521031,0.849990774117607,0.8517422035521031,0.8510344676403744,0.839636228583196,0.8517422035521031,0.8517422035521031,0.8414700074998457,0.8517422035521031,0.8477120974321459,0.05575133115053177,0.00038873953302184284,329.8,4,130512,5.6
29,0.8481763846761505,0.846817856036479,0.8481763846761505,0.849023575741853,0.8405117994361735,0.8481763846761505,0.8481763846761505,0.8407817721722479,0.8481763846761505,0.8453570221317268,0.05526890605688095,0.0003577362066844838,330.3,5,130334,5.6
30,0.8467517483644932,0.8456773895569947,0.8467517483644932,0.8479952634751935,0.8405207267750353,0.8467517483644932,0.8467517483644932,0.8401606875420748,0.8467517483644932,0.8440412482213999,0.054725877940654755,0.0003273174727893463,330.0,3,130430,5.6
31,0.8462677009737539,0.8430633246593839,0.8462677009737539,0.8473080888908231,0.8403790981618702,0.8462677009737539,0.8462677009737539,0.8388214249976604,0.8462677009737539,0.843438352849246,0.054217688739299774,0.0002976083284388031,330.2,5,130356,5.6
32,0.8490425405081875,0.8419637314147894,0.8490425405081875,0.8469324662792013,0.8409531281024695,0.8490425405081875,0.8490425405081875,0.8378466814816513,0.8490425405081875,0.8445706069945306,0.05380884185433388,0.0002687308548795825,330.3,4,130318,5.6
33,0.8450698021613101,0.8426917745631083,0.8450698021613101,0.8457065077988986,0.8398036420014583,0.8450698021613101,0.8450698021613101,0.8375390574789745,0.8450698021613101,0.8412432934069636,0.053355563431978226,0.00024080371584473748,330.7,4,130155,5.6
34,0.8482908685282126,0.8426530084408345,0.8482908685282126,0.8483841734041451,0.8425478758607647,0.8482908685282126,0.8482908685282126,0.8398009161963581,0.8482908685282126,0.8454519469413231,0.05291929841041565,0.0002139416699389153,331.1,5,130016,5.6
35,0.8437342811208601,0.8405141874284133,0.8437342811208601,0.8455400905881174,0.8398202663864567,0.8437342811208601,0.8437342811208601,0.8368164504676434,0.8437342811208601,0.8409231149330294,0.05253084376454353,0.00018825509907063325,329.6,5,130585,5.6
