round,rule,n_clients,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,f1_macro_std,f1_macro_min,f1_macro_max
46,proto,100,0.34998792901592296,0.44388750469701466,0.34998792901592296,0.5875205266266983,0.3877732496917584,0.34998792901592296,0.34998792901592296,0.3505804284999969,0.34998792901592296,0.3776333080935603,0.05978041878202346,0.2055538903114928,0.46375009956576485
46,clf,100,0.3719116266436262,0.42218344546613606,0.3719116266436262,0.5701045780722083,0.42191946448552303,0.3719116266436262,0.3719116266436262,0.3268485752893352,0.3719116266436262,0.35365581489155673,0.05905789339743699,0.16848296458013287,0.4404555471203255
47,proto,100,0.3474684219246613,0.44280803902431215,0.3474684219246613,0.5867946300479239,0.3843566845045126,0.3474684219246613,0.3474684219246613,0.3467286434480578,0.3474684219246613,0.37572144430491333,0.05843621688997491,0.1867336917452293,0.4854230317733785
47,clf,100,0.37500307257188986,0.4231819618539186,0.37500307257188986,0.5712149518157222,0.42388429555747165,0.37500307257188986,0.37500307257188986,0.32923530864752637,0.37500307257188986,0.356692433814373,0.058621626579238716,0.17686026564560903,0.4595773874227351
48,proto,100,0.345358798618351,0.4443519762505864,0.345358798618351,0.58882472372395,0.3830369132779075,0.345358798618351,0.345358798618351,0.3465977155244449,0.345358798618351,0.3745926088968035,0.05687943141347228,0.2074566853099821,0.4902973771116417
48,clf,100,0.3750297579028938,0.42545889113087526,0.3750297579028938,0.5719863849412937,0.4237475378364169,0.3750297579028938,0.37502975790289383,0.33014446927094454,0.3750297579028938,0.35691397340953,0.05818245878375392,0.16969468626943301,0.44041377297135614
49,proto,100,0.34352035429035205,0.4404449434418452,0.34352035429035205,0.584891243555052,0.3813910005609012,0.34352035429035205,0.34352035429035205,0.34395058354926433,0.34352035429035205,0.3720435831179354,0.05969076339933246,0.2059247336653091,0.46252588301585584
49,clf,100,0.3722279180210128,0.42595283722319094,0.3722279180210128,0.5714153374293546,0.42256104974106484,0.3722279180210128,0.3722279180210128,0.3283624768249194,0.3722279180210128,0.3528389924576774,0.05893453551581763,0.18230838329066557,0.45321007460592144
50,proto,100,0.3415641681526182,0.4387259419216505,0.3415641681526182,0.5846022496514691,0.37992370225261857,0.3415641681526182,0.3415641681526182,0.3434721630518638,0.3415641681526182,0.3708243383851013,0.060696819499413454,0.19296460160969428,0.4633621284785895
50,clf,100,0.37304778687938855,0.4226866105628562,0.37304778687938855,0.5697982484416726,0.42411371516046187,0.37304778687938855,0.37304778687938855,0.32886368438598124,0.37304778687938855,0.35401663817445234,0.05988232342302865,0.16915376323483305,0.4593452582568813
