round,rule,client_id,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
1,clf,17,0.6485890283396785,0.7088659097740967,0.6485890283396785,0.7464667347224498,0.679030102659098,0.6485890283396785,0.6485890283396785,0.638295867895066,0.6485890283396785,0.6208220098845396
1,clf,18,0.5460329626144246,0.532632443363205,0.5460329626144246,0.6628854605520523,0.565115045779508,0.5460329626144246,0.5460329626144247,0.42884457013582566,0.5460329626144246,0.502189036836806
1,clf,19,0.5354078017957424,0.6117732047080962,0.5354078017957424,0.6762428577002262,0.5172229775930839,0.5354078017957424,0.5354078017957424,0.4727933685866336,0.5354078017957424,0.5402517997216041
2,proto,0,0.667875097002298,0.6891825196227525,0.667875097002298,0.7620498861509615,0.6642623884235606,0.667875097002298,0.667875097002298,0.6439913474599743,0.667875097002298,0.6903470845822953
2,proto,1,0.5611057095754685,0.6469656948190408,0.5611057095754685,0.6861426847720132,0.6268293609205777,0.5611057095754685,0.5611057095754683,0.5702037328671865,0.5611057095754685,0.5517085779271239
2,proto,2,0.6437231858514314,0.6762080449891654,0.6437231858514314,0.73953093016246,0.6304504163992972,0.6437231858514314,0.6437231858514314,0.6251298480114651,0.6437231858514314,0.6724256781142911
2,proto,3,0.6744399839313736,0.6812457058518392,0.6744399839313736,0.7326831887310322,0.6821139022136167,0.6744399839313736,0.6744399839313736,0.669197528733857,0.6744399839313736,0.6896889762153309
2,proto,4,0.6695869651213607,0.6778138472467722,0.6695869651213607,0.7427864884685722,0.6800098511378465,0.6695869651213607,0.6695869651213607,0.6601768009471627,0.6695869651213607,0.6906151975946233
2,proto,5,0.6806771236638401,0.6949350590265493,0.6806771236638401,0.7476827541024437,0.6588488636251167,0.6806771236638401,0.68067712366384,0.6604409816514574,0.6806771236638401,0.700103972069277
2,proto,6,0.711240223455381,0.7400873833390593,0.711240223455381,0.7739027450579627,0.6897400192732623,0.711240223455381,0.711240223455381,0.689912083415176,0.711240223455381,0.7295930760436493
2,proto,7,0.5865164784729936,0.688926966846373,0.5865164784729936,0.7560316873302853,0.639353165171922,0.5865164784729936,0.5865164784729936,0.6197959558570552,0.5865164784729936,0.623695440021279
2,proto,8,0.6971406821620685,0.7311012561967741,0.6971406821620685,0.7658958101968256,0.7157927110062432,0.6971406821620685,0.6971406821620685,0.7083917641784023,0.6971406821620685,0.713974197136106
2,proto,9,0.6114865031251211,0.6454142624721885,0.6114865031251211,0.736596903653645,0.6105260252433725,0.6114865031251211,0.6114865031251211,0.6008400090735591,0.6114865031251211,0.6372487240027217
2,proto,10,0.6704034988941436,0.6967580176272644,0.6704034988941436,0.7544771558142596,0.6763635593336395,0.6704034988941436,0.6704034988941436,0.6695732798877344,0.6704034988941436,0.6826212395448562
2,proto,11,0.6234601015876922,0.6593144493045487,0.6234601015876922,0.7267424288343652,0.6159892523386135,0.6234601015876922,0.6234601015876922,0.613483376613428,0.6234601015876922,0.6564646131978424
2,proto,12,0.5573945556795281,0.5923103511358077,0.5573945556795281,0.6495185632230344,0.5363513901243895,0.5573945556795281,0.5573945556795281,0.5341445044731291,0.5573945556795281,0.5804318571066353
2,proto,13,0.6420228404577384,0.6783869139261461,0.6420228404577384,0.7549727023144917,0.6543925755303776,0.6420228404577384,0.6420228404577384,0.6269521062608183,0.6420228404577384,0.6531281321241271
2,proto,14,0.5968746651788722,0.6619355978816346,0.5968746651788722,0.7449921021396144,0.6300375532502414,0.5968746651788722,0.5968746651788722,0.5910689577641268,0.5968746651788722,0.5953885689651411
2,proto,15,0.6539814779623696,0.6951527621951001,0.6539814779623696,0.7336233693551758,0.6903976813254451,0.6539814779623696,0.6539814779623696,0.673365026742039,0.6539814779623696,0.6727170832371665
2,proto,16,0.5866922000348841,0.6389139854112142,0.5866922000348841,0.6983666508388529,0.6393082747301309,0.5866922000348841,0.5866922000348841,0.5993575476857674,0.5866922000348841,0.5887851285810468
2,proto,17,0.5901688107144247,0.69452668988956,0.5901688107144247,0.7344301256397792,0.6914605382031095,0.5901688107144247,0.5901688107144247,0.6640191900743455,0.5901688107144247,0.6210230506346526
2,proto,18,0.6058444564028858,0.5836115884720308,0.6058444564028858,0.71631528617314,0.6493121994362846,0.6058444564028858,0.6058444564028858,0.5701735005791615,0.6058444564028858,0.5945755818292695
