round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,skipped_steps,samples_per_sec,peak_gb
37,0.8217202072269233,0.7986313544961107,0.8217202072269233,0.8240559457852311,0.8159294485743775,0.8217202072269233,0.8217202072269233,0.8030137117098229,0.8217202072269233,0.8182154203630444,0.0452100932598114,0.00014082532495113625,607.6,5,70846,5.61
38,0.8239342431516214,0.8106160658974795,0.8239342431516214,0.8262611456823111,0.8161761227024802,0.8239342431516214,0.8239342431516214,0.8078228226624145,0.8239342431516214,0.819928327033734,0.04401113837957382,0.0001192770208154328,608.4,4,70747,5.61
39,0.8192990410211811,0.806305352478718,0.8192990410211811,0.8259721517652024,0.8183766499192637,0.8192990410211811,0.8192990410211811,0.8070268838829999,0.8192990410211811,0.8167710755963203,0.04278618097305298,9.929318906602175e-05,607.2,4,70889,5.61
40,0.8206219242338061,0.8024828159586934,0.8206219242338061,0.8267532901030921,0.82155348340428,0.8206219242338061,0.8206219242338061,0.8076570875050075,0.8206219242338061,0.8188143732552133,0.04163422808051109,8.09559475540797e-05,605.2,4,71120,5.61
41,0.8221270337726434,0.8039143253384492,0.8221270337726434,0.8284938464615459,0.823120853322048,0.8221270337726434,0.8221270337726434,0.8088726437483583,0.8221270337726434,0.8203961274784912,0.04051213711500168,6.43406479383053e-05,596.6,5,72152,5.61
42,0.8179750427061009,0.7976674745391711,0.8179750427061009,0.8234578395586187,0.8189020726517647,0.8179750427061009,0.8179750427061009,0.802576686451718,0.8179750427061009,0.8148053712625365,0.03941535949707031,4.9515566048790485e-05,592.0,4,72713,5.61
43,0.8191472012368717,0.8024440989687787,0.8191472012368717,0.8264681094845976,0.8195822409105011,0.8191472012368717,0.8191472012368717,0.8055420270783197,0.8191472012368717,0.8171833431539139,0.038406021893024445,3.654162132698918e-05,593.2,5,72570,5.61
44,0.8199397603068688,0.8041582963939653,0.8199397603068688,0.826250642224436,0.8181153587059613,0.8199397603068688,0.8199397603068688,0.8044265365582475,0.8199397603068688,0.8162496693346395,0.03752139210700989,2.547212649466568e-05,593.2,5,72569,5.61
45,0.8215745005061171,0.8071364663416041,0.8215745005061171,0.8275545716313535,0.821298094178857,0.8215745005061171,0.8215745005061171,0.808014519024499,0.8215745005061171,0.818085975829298,0.03670738264918327,1.6352568480485276e-05,591.1,3,72825,5.61
46,0.8167197161172169,0.8000371174974938,0.8167197161172169,0.8245513030602778,0.8200689538780237,0.8167197161172169,0.8167197161172169,0.8035864719452033,0.8167197161172169,0.813896850452528,0.03606249764561653,9.22042150446728e-06,594.4,5,72415,5.61
47,0.814946052737098,0.7994535755528632,0.814946052737098,0.8239895836220559,0.8197566148300304,0.814946052737098,0.814946052737098,0.803329700432889,0.814946052737098,0.812800504534693,0.0355406329035759,4.104993088376974e-06,595.8,5,72244,5.61
48,0.813743600589629,0.7981922066468137,0.813743600589629,0.823253288036567,0.8200594869765954,0.813743600589629,0.813743600589629,0.8030329030769314,0.813743600589629,0.8120300326161969,0.035181883722543716,1.0273036248318324e-06,592.5,4,72649,5.61
49,0.8137001115938782,0.7976434315500502,0.8137001115938782,0.8232619638467207,0.8201086958683461,0.8137001115938782,0.8137001115938782,0.802880814615518,0.8137001115938782,0.8121360760330735,0.03498668968677521,0.0,590.0,5,72951,5.61
